"","county","swing","change_query_incidence","state","lat_long.lon","lat_long.lat"
"444","GREEN",4.182230e-03,NA,"WISCONSIN", -89.62516,  42.62873
"445","WOOD",4.090365e-03,NA,"WISCONSIN", -90.16823,  44.45581
"446","GAINES",3.543200e-02,NA,"TEXAS",-102.71351,  32.69875
"447","MASON",3.269562e-02,NA,"ILLINOIS", -88.62366,  38.95310
"448","MASON",1.638481e-02,NA,"KENTUCKY", -83.88971,  38.61941
"449","MASON",1.683615e-02,NA,"MICHIGAN", -84.44358,  42.57920
"450","CHESTER",3.693436e-02,NA,"PENNSYLVANIA", -75.35575,  39.84956
"451","CHESTER",1.502333e-01,NA,"SOUTH CAROLINA", -81.21426,  34.70486
"452","CHESTER",4.809197e-03,NA,"TENNESSEE", -88.67236,  35.42709
"453","AUSTIN",1.093042e-02,NA,"TEXAS", -97.74306,  30.26715
"454","MASON",1.056360e-02,NA,"TEXAS", -99.23061,  30.74879
"455","MASON",1.277536e-02,NA,"WASHINGTON",-123.19514,  47.42511
"456","MASON",1.551725e-02,NA,"WEST VIRGINIA", -82.02903,  39.02175
"457","CROSS",2.759735e-01,NA,"ARKANSAS", -90.82940,  35.29989
"458","ROSS",3.548829e-02,NA,"OHIO", -84.65050,  39.31228
"459","EAU CLAIRE",1.576284e-02,NA,"WISCONSIN", -91.49849,  44.81135
"460","LA CROSSE",1.768684e-02,NA,"WISCONSIN", -91.25190,  43.81378
"461","BINGHAM",9.601757e-04,NA,"IDAHO",-112.36241,  43.21123
"462","INGHAM",2.087590e-02,NA,"MICHIGAN", -84.35420,  42.64689
"463","LEXINGTON",1.914075e-01,NA,"SOUTH CAROLINA", -81.23621,  33.98154
"464","LEXINGTON",NA,NA,"VIRGINIA", -79.44282,  37.78402
"465","FORD",1.796035e-02,NA,"ILLINOIS", -88.20716,  40.49886
"466","FORD",4.091676e-02,NA,"KANSAS", -99.75402,  37.63613
"467","KLAMATH",3.020634e-02,NA,"OREGON",-121.61421,  42.69528
"468","FALLS",1.604422e-02,NA,"TEXAS", -97.00684,  31.16364
"469","PEORIA",1.607611e-02,NA,"ILLINOIS", -89.59278,  40.69269
"470","JEFFERSON",2.893679e-02,NA,"ALABAMA", -87.90172,  32.38596
