"","Region","query_incidence","daterange","City","DMA"
"533","Utah",48,"12-16",NA,NA
"534","Vermont",47,"12-16",NA,NA
"535","Wisconsin",46,"12-16",NA,NA
"536","Nebraska",46,"12-16",NA,NA
"537","Pennsylvania",46,"12-16",NA,NA
"538","Minnesota",45,"12-16",NA,NA
"539","Indiana",45,"12-16",NA,NA
"540","Idaho",45,"12-16",NA,NA
"541","North Carolina",45,"12-16",NA,NA
"542","Iowa",44,"12-16",NA,NA
"543","Wyoming",44,"12-16",NA,NA
"544","Georgia",43,"12-16",NA,NA
"545","Maine",43,"12-16",NA,NA
"546","Michigan",43,"12-16",NA,NA
"547","Arkansas",42,"12-16",NA,NA
"548","South Carolina",41,"12-16",NA,NA
"549","Kansas",40,"12-16",NA,NA
"550","Oklahoma",40,"12-16",NA,NA
"551","Alaska",40,"12-16",NA,NA
"552","North Dakota",38,"12-16",NA,NA
"553","Ohio",38,"12-16",NA,NA
"554","Oregon",38,"12-16",NA,NA
"555","Missouri",37,"12-16",NA,NA
"556","Tennessee",36,"12-16",NA,NA
